ConfigRuleName,ConfigRuleDescription,ConfigRuleParentname,ConfigRuleChildrenNeeded,ConfigRuleQuestion,ConfigRuleOptional,ConfigRuleSelected,ConfigRuleParseOrder,ConfigRuleVersion,ConfigRuleContext,ConfigRuleInstance,ConfigRuleType,ConfigRuleMatch,ConfigRuleImportance,ConfigRuleReason,ConfigRuleDiscussion,ConfigRuleCallout,ConfigRuleFix
1.1.1.5 - Require AAA Accounting ASA,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managingand monitoring access for devices. Centralizing control improves consistency of access control, the services that may be accessedonce authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reducesadministrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.AAA Accounting provides a management and audit trail for user and administrative sessions through RADIUS and TACACS+.IfTACACS+isusedallcommandsenteredbyusersandadministratorsofthe firewall are logged.",1.1.1 - Local AAA Rules,,Configure the firewall to implement AAA accounting for user access through RADIUS or TACACS+.,no,no,56,((PIX|ASA) Version [678][.][0-9]+[(]*[0-9]*[)]*[0-9]*\s)(?!\<context>)(?!\<system>),ASAGlobal,,Required,aaa accounting,5,,"See: NSA Router Security Configuration Guide, ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>aaa accounting {serial | telnet | ssh | enable} console {server-tag}</cmd></code>
1.1.1.5 - Require AAA Accounting on Virtual Contexts,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managingand monitoring access for devices. Centralizing control improves consistency of access control, the services that may be accessedonce authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reducesadministrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.AAA Accounting provides a management and audit trail for user and administrative sessions through RADIUS and TACACS+.IfTACACS+isusedallcommandsenteredbyusersandadministratorsofthe firewall are logged.",1.1.1 - Local AAA Rules,,Configure the firewall to implement AAA accounting for user access through RADIUS or TACACS+.,no,no,57,((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s<context>),ASAGlobal,,Required,aaa accounting,5,,"See: NSA Router Security Configuration Guide, ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>aaa accounting {serial | telnet | ssh | enable} console {server-tag}</cmd></code>
1.1.1.5 - Require AAA Accounting on FWSM,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managingand monitoring access for devices. Centralizing control improves consistency of access control, the services that may be accessedonce authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reducesadministrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.AAA Accounting provides a management and audit trail for user and administrative sessions through RADIUS and TACACS+.IfTACACS+isusedallcommandsenteredbyusersandadministratorsofthe firewall are logged.",1.1.1 - Local AAA Rules,,Configure the firewall to implement AAA accounting for user access through RADIUS or TACACS+.,no,yes,58,(FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*),ASAGlobal,,Required,^aaa accounting,5,,"See: NSA Router Security Configuration Guide, ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>aaa accounting {serial | telnet | ssh | enable} console {server-tag}</cmd></code>
1.1.2.1 - Require Local Password,Verify a local login password is configured to restrict access to the device via Telnet or SSH.,1.1.2 - Access Rules,,Configure a strong login password,no,yes,59,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,(passwd|password) \S+ encrypted,10,Default device configuration does not require any strong user authentication enabling unfettered access to an attacker that can reach the device. Requiring a unique local login password protects user EXEC mode. A user can enter the default password and just press the Enter key at the Password prompt to login to the device. The passwd command causes the device to enforce use of a strong password to access user mode. Using default or well-known passwords makes it easier for an attacker to gain entry to a device.,"See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>{passwd | password} EDIT-BY-HAND encrypted</cmd></code>
1.1.2.2 - Require ASDM Management Access Control,Default Description,1.1.2 - Access Rules,,Configure remote administration access restrictions for HTTPS and ASDM,yes,no,60,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,^http \d+\.\d+\.\d+\.\d+ \S+,5,,"See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>http { ip_address subnet_mask interface_name }</cmd></code>
1.1.2.3 - Require SSHv2 for Remote Management Access Control,Verify that telnet access to the device is forbidden.,1.1.2 - Access Rules,SSH_ADMIN_NET,Disable telnet,no,yes,61,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Forbidden,^telnet \S+ \d+\.\d+\.\d+\.\d+ \S+,5,"SSH uses RSA public key cryptography to establish a secure connection between a client and a server. Because connections are encrypted, passwords and other sensitive information are not exposed in clear text between the administrator's host and the device. SSH also prevents session hijacking and many other kinds of network attacks. SSH should be employed to replace Telnet where available.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>no telnet { hostname | ip_address subnet_mask interface_name }</cmd></code>
1.1.2.4 - Require Timeout for Login Sessions,Verify device is configured to automatically disconnect sessions after a fixed idle time.,1.1.2 - Access Rules,LOGIN_TIMEOUT,Configure console timeout to disconnect sessions after a fixed idle time,yes,yes,62,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,console timeout 5,5,"This prevents unauthorized users from misusing abandoned sessions. Example, if the administrator goes on vacation and leaves an enabled login session active on his desktop system. There is a trade-off here between security (shorter timeouts) and usability (longer timeouts). Check your local policies and operational needs to determine the best value. In most cases, this should be no more than 10 minutes.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>console timeout { minutes }</cmd></code>
1.1.2.5 - Require SSHv2 Management Access Control,Verify that management access to the device is restricted to appropriate management subnets.,1.1.2 - Access Rules,SSH_ADMIN_NET,Disable remote administration access via Telnet for all hosts and enable SSHv2.,no,yes,63,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,ssh \d+\.\d+\.\d+\.\d+ \S+,6,"SSHv2 uses RSA public key cryptography to establish a secure connection between a client and a server.Because connections are encrypted, passwords and other sensitive information are not exposed in clear text between theadministrator's host and the device. SSHv2 also prevents session hijacking and many other kinds of network attacks.SSHv2 should be employed to replace Telnet where available.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>ssh {ip_address mask} interface</cmd></code>
1.1.3.1 - Require EXEC Banner,Verify an authorized EXEC banner is defined.,1.1.3 - Banner Rules,,Configure the exec banner presented to a user when accessing the device's enable prompt,yes,yes,64,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version (2[.][2-9][(]*[1-9]*[)]*|[34][.][0-9][(]*[0-9]*[)]*[0-9]*)\s),ASAGlobal,,Required,banner exec \S+,3,"Presentation of an EXEC banner occurs before displaying the enable prompt, after starting an EXEC process,normally after displaying the message of the day and login banners and after the user logs into the device. “Network bannersare electronic messages that provide notice of legal rights to users of computernetworks"". From a legal standpoint,banners have four primary functions.First,banners may be used to generate consent to real-time monitoring under Title III.Second, banners may be used to generate consent to the retrieval of stored files and records pursuant to ECPA.Third, in the case of government networks, banners may eliminate any Fourth Amendment ""reasonable expectation of privacy""that government employees or other users might otherwise retain in their use of the government's network under O'Connor v. Ortega, 480 U.S. 709 (1987).Fourth, in the case of a non-government network, banners may establisha system administrator's ""common authority"" to consent to alaw enforcement search pursuant to United States v. Matlock, 415 U.S. 164 (1974). ” (US Department of Justice APPENDIXA:SampleNetworkBannerLanguage).ConfigRuleDiscussion:See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,,<code>asa(config)# <cmd>banner exec { banner-text }</cmd></code>
1.1.3.2 - Require Login Banner,Verify an authorized login banner is defined.,1.1.3 - Banner Rules,,,yes,yes,65,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version (2[.][2-9][(]*[1-9]*[)]*|[34][.][0-9][(]*[0-9]*[)]*[0-9]*)\s),ASAGlobal,,Required,banner login \S+,3,"Presentation of a login banner, to a user attempting to access the device, occurs before the display of login prompts and usually appears after the message of the day banner. Network banners are electronic messages that provide notice of legal rights to users of computer networks. From a legal standpoint,banners have four primary functions.First,banners may be used to generate consent to real-time monitoring under Title III.Second, banners may be used to generate consent to the retrieval of stored files and records pursuant to ECPA.Third, in the case of government networks, banners may eliminate any Fourth Amendment ""reasonable expectation of privacy""that government employees or other users might otherwise retain in their use of the government's network under O'Connor v. Ortega, 480 U.S. 709 (1987).Fourth, in the case of a non-government network, banners may establisha system administrator's ""common authority"" to consent to alaw enforcement search pursuant to United States v. Matlock, 415 U.S. 164 (1974). ” (US Department of Justice APPENDIXA:SampleNetworkBannerLanguage).ConfigRuleDiscussion:See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.and NSA Router Security Configuration Guide.ConfigRuleQuestion:Configure the login banner presented to a user attempting to access the device",,,<code>asa(config)# <cmd>banner login { banner-text }</cmd></code>
1.1.3.3 - Require MOTD Banner,Verify an authorized message of the day (MOTD) banner is defined.,1.1.3 - Banner Rules,,Configure the message of the day (MOTD) banner presented when a user first connects to the device,yes,yes,66,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version (2[.][2-9][(]*[1-9]*[)]*|[34][.][0-9][(]*[0-9]*[)]*[0-9]*)\s),ASAGlobal,,Required,banner motd \S+,3,"Presentation of a MOTD banner occurs when a user first connects to the device, normally before displaying the login banner and login prompts. Network banners are electronic messages that provide notice of legal rights to users of computer networks.From a legal standpoint,banners have four primary functions.First,banners may be used to generate consent to real-time monitoring under Title III.Second, banners may be used to generate consent to the retrieval of stored files and records pursuant to ECPA.Third, in the case of government networks, banners may eliminate any Fourth Amendment ""reasonable expectation of privacy""that government employees or other users might otherwise retain in their use of the government's network under O'Connor v. Ortega, 480 U.S. 709 (1987).Fourth, in the case of a non-government network, banners may establisha system administrator's ""common authority"" to consent to alaw enforcement search pursuant to United States v. Matlock, 415 U.S. 164 (1974). ” (US Department of Justice APPENDIXA:SampleNetworkBannerLanguage).ConfigRuleDiscussion:See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,,<code>asa(config)# <cmd>banner motd { banner-text }</cmd></code>
1.1.3.4 - Require ASDM Banner,Verify an authorized ASDM banner is defined.,1.1.3 - Banner Rules,,Configure the ADSDM banner presented when a user first connects to the device,yes,no,67,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version (2[.][2-9][(]*[1-9]*[)]*|[34][.][0-9][(]*[0-9]*[)]*[0-9]*)\s),ASAGlobal,,Required,banner ASDM \S+,3,"Presentation of an ASDM banner occurs after a user logins in to the ASDM. Network banners are electronic messages that provide notice of legal rights to users of computer networks.From a legal standpoint,banners have four primary functions.First,banners may be used to generate consent to real-time monitoring under Title III.Second, banners may be used to generate consent to the retrieval of stored files and records pursuant to ECPA.Third, in the case of government networks, banners may eliminate any Fourth Amendment ""reasonable expectation of privacy""that government employees or other users might otherwise retain in their use of the government's network under O'Connor v. Ortega, 480 U.S. 709 (1987).Fourth, in the case of a non-government network, banners may establisha system administrator's ""common authority"" to consent to alaw enforcement search pursuant to United States v. Matlock, 415 U.S. 164 (1974). ” (US Department of Justice APPENDIXA:SampleNetworkBannerLanguage).ConfigRuleDiscussion:See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,,<code>asa(config)# <cmd>banner ASDM {banner-text }</cmd></code>
1.1.4.1 - Require Local User and Encrypted Password,Verify at least one local user exists with a defined password.,1.1.4 - Password Rules,LOCAL_USERNAME,Create a local user with strong password.,yes,yes,68,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version ([12][.][0-9][(]*[1-9]*[)]*[0-9]*\s|3[.][01][(]*[0-9]*[)]*[0-9]*\s|(3[.][2-9][(]*[1-9]*[)]*[0-9]*\s|4[.][0-9][(]*[0-9]*[(]*[0-9]*\s)(?!<system>))),ASAGlobal,,Required,^username \w+ password \S+,10,"Default device configuration does not require strong user authentication enabling unfettered access to an attacker that can reach the device. Creating a local account with a strong password enforces login authentication and provides a fallback authentication mechanism for configuration in a named method list in case centralized authentication, authorization and accounting services are unavailable.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>username ( local_username } password { local_password } encrypted</cmd></code>
1.1.4.2 - Require Enable Password,Verify an enable secret password is defined using strong encryption to protect access to privileged EXEC mode (enable mode) which is used to configure the device.,1.1.4 - Password Rules,,Require enable password,no,yes,69,((PIX|ASA) Version [678]|FWSM Version [1234]),ASAGlobal,,Required,enable password \S+ encrypted,10,"Requiring enable secret setting protects privileged EXEC mode. By default, a strong password is not required, a user can just press the Enter key at the Password prompt to start privileged mode. The enable password command causes the device to enforce use of a password to access privileged mode. Enable secrets use a strong, one-way cryptographic hash (MD5). This is preferred to enable passwords that use a weak, well-known and reversible encryption algorithm.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>enable password { enable_password }</cmd></code>
1.1.5.1 - Forbid SNMP Read Access,Verify simple network management protocol (SNMP) read access to the device is disabled.,1.1.5 - SNMP Rules,,Disable SNMP read access to the device,yes,no,70,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Forbidden,(^snmp-server community|^snmp-server host),10,"SNMP read access allows remote monitoring and management of the device. Older version of the protocol, such as SNMP versions 1 and 2, do not use any encryption to protect community strings (passwords). SNMP should be disabled unless you absolutely require it for network management purposes. If you require SNMP, be sure to select SNMP community strings that are strong passwords, and are not the same as other passwords used for the device (e.g. enable password, line password, etc.) or other authentication credentials. Consider utilizing SNMPv3 which utilizes authentication and data privatization (encryption), when available. SNMP versions 1 and 2 use clear-text community strings, which are considered a weak security implementation.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>no snmp-server community (PIX 6.x)</cmd></code><code>asa(config)# <cmd>clear configure snmp-server (PIX/ASA 7+)</cmd></code>
1.1.5.2 - Forbid SNMP Traps,Verify the device is not configured to send SNMP traps.,1.1.5 - SNMP Rules,,Disable SNMP traps,yes,no,71,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Forbidden,^snmp-server enable traps,10,SNMP should be disabled unless you absolutely require them for network management purposes.,"See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>no snmp-server enable traps</cmd></code>
1.1.5.3 - Require SNMP Trap Server When SNMP is Used,Verify device is configured to submit SNMP traps to authorized systems required to manage the device.,1.1.5 - SNMP Rules,SNMP_TRAP_HOST,Configure authorized SNMP trap community string and restrict sending messages to authorized management systems,yes,no,72,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,(^snmp-server host \S+ (\d+\.\d+\.\d+\.\d+|\S+) trap community \S+|^snmp-server host \S+ (\d+\.\d+\.\d+\.\d+|\S+) community \S+),7,,"See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>snmp-server enable traps</cmd></code><code>asa(config)# <cmd>snmp-server host { interface_name ip_address trap } community { trap_community_string }</cmd></code>
1.1.5.4 - Require Authorized Read SNMP Community Strings and Access Control,Verify an authorized community string and access control is configured to restrict read access to the device.,1.1.5 - SNMP Rules,,Forbid weak SNMP read community string,no,yes,73,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Forbidden,^snmp-server community (public|private),10,"SNMP read access should be restricted to authorized management systems, in a restricted zone, using a community string unique to the managing organization to prevent unauthorized device access. If an attacker is able to easily guess or obtain the community string and can access the device then they can potentially gain sensitive device information using SNMP.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>snmp-server community { community_string }</cmd></code>
