ConfigRuleName,ConfigRuleDescription,ConfigRuleParentname,ConfigRuleChildrenNeeded,ConfigRuleQuestion,ConfigRuleOptional,ConfigRuleSelected,ConfigRuleParseOrder,ConfigRuleVersion,ConfigRuleContext,ConfigRuleInstance,ConfigRuleType,ConfigRuleMatch,ConfigRuleImportance,Severity,ConfigRuleReason,ConfigRuleDiscussion,ConfigRuleCallout,ConfigRuleFix
2.2.1.5 - Require Binding TFTP Service to Loopback Interface,Verify the trivial file transfer protocol (TCTP) client is bound to the loopback interface.,2.2.1 - Loopback Rules,"LOOPBACK_NUMBER,2.2.1.1 - Require Loopback Interface",Bind the TFTP client to the loopback interface,yes,no,136,version 1[125]\.*,IOSGlobal,,Required,ip tftp source-interface Loopback[0-9]+,3,Low,This is required so that the TFTP servers can easily identify routers and authenticate requests by their IP address.,"Cisco IOS Configuration Fundamentals Command Reference, Release 15.0M and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)#ip tftp source-interface loopback {0}</cmd></code>
2.3.2.2 - Require BGP Authentication if Protocol is Used,"Verify border gateway protocol (BGP) authentication is enabled, if routing protocol is used, where feasible.",2.3.2 - Neighbor Authentication,,Configure BGP neighbor authentication where feasible,yes,No,141,version 1[125]\.*,IOSGlobal,,Required,neighbor (\d+\.\d+\.\d+\.\d+|\S+) password \S+,4,Low,"Verifying routing update packets using neighbor authentication reduces the possibility of the device receiving false route updates that could potentially allow an attacker to corrupt route tables, compromise network availability or redirect network traffic.","Cisco IOS Security Command Reference, Release 15.0, Cisco IOS IP Routing:BGP Configuration Guide,Release15.0, Cisco IOS Security Configuration Guide: Securing the Control Plane, Release 15.0, and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)#router bgp { bgp_as-number }</cmd> <cmd>hostname(config-router)#neighbor { bgp_neighbor-ip | peer-group-name } password { bgp_md5_key }</cmd></code>
2.3.2.3 - Require EIGRP Authentication if Protocol is Used,"Verify enhanced interior gateway routing protocol (EIGRP) authentication is enabled, if routing protocol is used, where feasible.",2.3.2 - Neighbor Authentication,,Configure EIGRP neighbor authentication where feasible,yes,No,142,version 1[125]\.*,IOSInterface,,Required,ip authentication mode eigrp \S+ md5 ip authentication key-chain eigrp \S+ \S+,4,Low,"Verifying routing update packets using neighbor authentication reduces the possibility of the device receiving false route updates that could potentially allow an attacker to corrupt route tables, compromise network availability or redirect network traffic.","Cisco IOS Security Command Reference, Release 15.0, Cisco IOS IP Routing:BGP Configuration Guide,Release15.0, Cisco IOS Security Configuration Guide: Securing the Control Plane, Release 15.0, and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)# key chain { eigrp_key-chain_name } hostname(config)# key { eigrp_key-number } hostname(config)# key-string { eigrp_key-string } hostname(config)# interface { interface_name } hostname(config-if)# ip authentication mode eigrp { eigrp_as-number } md5 hostname(config-if)# ip authentication key-chain eigrp { eigrp_as-number } { eigrp_key-chain_name }</cmd></code>
2.3.2.3.1 - Establish the EIGRP Address Family,Configure the EIGRP address family.,2.3.2 - Neighbor Authentication,,Configure the EIGRP address family,yes,No,143,version 1[125]\.*,IOSInterface,,Required,af-interface default,4,Low,Configure the EIGRP address family.,"Cisco IOS Security Command Reference, Release 15.0, Cisco IOS IP Routing:BGP Configuration Guide,Release15.0, Cisco IOS Security Configuration Guide: Securing the Control Plane, Release 15.0, and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)#router eigrp {virtual-instance-name} hostname(config)# key { eigrp_key-number } hostname(config-router)#address-family ipv4 autonomous-system {eigrp_as-number} hostname(config-router-af)#af-interface default</cmd></code>
2.3.2.3.2 - Establish the EIGRP Address Family Key Chain,Configure the EIGRP address family key chain.,2.3.2 - Neighbor Authentication,,Configure the EIGRP address family key chain.,yes,No,144,version 1[125]\.*,IOSInterface,,Required,authentication key-chain \S+,4,Low,Configure the EIGRP address family key chain.,"Cisco IOS Security Command Reference, Release 15.0, Cisco IOS IP Routing:BGP Configuration Guide,Release15.0, Cisco IOS Security Configuration Guide: Securing the Control Plane, Release 15.0, and NSA Router Security Configuration Guide",,<code><cmd>hostname(config-router-af-interface)#authentication key-chain {eigrp_key-chain_name}</cmd></code>
2.3.2.3.3 - Establish the EIGRP Address Family Authentication Mode,Configure the EIGRP address family authentication mode.,2.3.2 - Neighbor Authentication,,Configure the EIGRP address family authentication mode.,yes,No,145,version 1[125]\.*,IOSInterface,,Required,authentication mode md5,4,Low,Configure the EIGRP address family authentication mode.,"Cisco IOS Security Command Reference, Release 15.0, Cisco IOS IP Routing:BGP Configuration Guide,Release15.0, Cisco IOS Security Configuration Guide: Securing the Control Plane, Release 15.0, and NSA Router Security Configuration Guide",,<code><cmd>hostname(config-router-af-interface)#authentication mode md5</cmd></code>
2.3.2.3.4 - Configure the Interface with the EIGRP Key Chain,Configure the Interface with the EIGRP Key Chain,2.3.2 - Neighbor Authentication,,Configure the Interface with the EIGRP Key Chain,yes,No,146,version 1[125]\.*,IOSInterface,,Required,ip authentication key-chain eigrp \S+,4,Low,Configure the Interface with the EIGRP Key Chain,"Cisco IOS Security Command Reference, Release 15.0, Cisco IOS IP Routing:BGP Configuration Guide,Release15.0, Cisco IOS Security Configuration Guide: Securing the Control Plane, Release 15.0, and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)#interface {interface_name} hostname(config-if)#ip authentication key-chain eigrp {eigrp_as-number} {eigrp_key-chain_name}</cmd></code>
2.3.2.3.5 - Configure the Interface with the EIGRP Authentication Mode,Configure the interface with the EIGRP authentication mode.,2.3.2 - Neighbor Authentication,,Configure the interface with the EIGRP authentication mode.,yes,No,147,version 1[125]\.*,IOSInterface,,Required,ip authentication mode eigrp \S+ md5,4,Low,Configure the interface with the EIGRP authentication mode.,"Cisco IOS Security Command Reference, Release 15.0, Cisco IOS IP Routing:BGP Configuration Guide,Release15.0, Cisco IOS Security Configuration Guide: Securing the Control Plane, Release 15.0, and NSA Router Security Configuration Guide",,<code><cmd>hostname(config-if)#ip authentication mode eigrp {eigrp_as-number} md5</cmd></code>
2.3.2.4.1 - Require the Message Digest for OSPF,Configure the message Digest option for OSPF,2.3.2 - Neighbor Authentication,,Configure OSPF area authentication,yes,No,148,version 1[125]\.*,IOSGlobal,,Required,area \S+ authentication message-digest,4,Low,Configure the message Digest option for OSPF,"Cisco IOS IP Routing: OSPF Configuration Guide, Release 15.0, Cisco IOS Security Configuration Guide: Securing the Control Plane, Release 15.0, and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)# router ospf { ospf_process-id } hostname(config-router)# area { ospf_area-id } authentication message-digest hostname(config)# interface { interface_name } hostname(config-if)# ip ospf message-digest-key { ospf_md5_key-id } md5 { ospf_md5_key }</cmd></code>
2.3.2.4.2 - Configure the Interface for Message Digest Authentication,Configure the appropriate interface(s) for Message Digest authentication,2.3.2 - Neighbor Authentication,,Configure OSPF interface neighbor authentication,yes,No,149,version 1[125]\.*,IOSInterface,,Required,ip ospf authentication message-digest ip ospf message-digest-key \d+ md5 \d+ \S+,4,Low,Configure the appropriate interface(s) for Message Digest authentication,"Cisco IOS IP Routing: OSPF Configuration Guide, Release 15.0, Cisco IOS Security Configuration Guide: Securing the Control Plane, Release 15.0, and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)# router ospf { ospf_process-id } hostname(config-router)# area { ospf_area-id } authentication message-digest hostname(config)# interface { interface_name } hostname(config-if)# ip ospf message-digest-key { ospf_md5_key-id } md5 { ospf_md5_key }</cmd></code>
2.3.2.5.1 - Configure the Interface with the RIPv2 Key Chain,Configure the Interface with the RIPv2 Key Chain,2.3.2 - Neighbor Authentication,,Configure the Interface with the RIPv2 Key Chain,yes,No,150,version 1[125]\.*,IOSInterface,,Required,ip rip authentication key-chain \S+,4,Low,Configure the Interface with the RIPv2 Key Chain,"Cisco IOS IP Routing: OSPF Configuration Guide, Release 15.0, Cisco IOS Security Configuration Guide: Securing the Control Plane, Release 15.0, and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)#interface {interface_name} hostname(config-if)#ip rip authentication key-chain {rip_key-chain_name}</cmd></code>
2.3.2.5.2 - Configure the Interface with the RIPv2 Authentication Mode,Configure the Interface with the RIPv2 key chain.,2.3.2 - Neighbor Authentication,,Configure the Interface with the RIPv2 key chain.,yes,No,151,version 1[125]\.*,IOSInterface,,Required,ip rip authentication mode md5,4,Low,Configure the Interface with the RIPv2 key chain.,"Cisco IOS IP Routing: OSPF Configuration Guide, Release 15.0, Cisco IOS Security Configuration Guide: Securing the Control Plane, Release 15.0, and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)#interface {interface_name} hostname(config-if)#ip rip authentication mode md5</cmd></code>
1.1.2.1 - Require Privilege Level 1 for Local Users,Verify all locally defined users are set to the lowest level permissions as possible.,1.1.2 - Access Rules,,"Create a local user with an encrypted, complex (not easily guessed) password",yes,no,42,version 1[0125]\.*,IOSGlobal,,Required,username \S+ privilege 1,5,Medium,"Default device configuration does not require strong user authentication potentially enabling unfettered access to an attacker that is able to reach the device. Creatingalocal account with privilege level 1 permissions only allows the local user to access the device with EXEC-level permissions and will be unable to modify the device without using the enablepassword. In addition,require the use of an encrypted password as well(see Section 1.1.4.4 - Require Encrypted User Passwords).","Center for Internet Security Gold Standard Benchmark for Cisco IOS Version 2.1, and NSA Router Security Configuration Guide.",,<code>hostname(config)#username {username} privilege 1</cmd></code>
1.1.2.2 - Require VTY Transport SSH,Verify secure shell (SSH) access is configured on all vty management lines.,1.1.2 - Access Rules,,Apply VTY transport SSH on all management lines,yes,yes,43,version 1[0125]\.*,IOSLine,vty,Required,transport input ssh,5,Medium,Configuring VTY access control restricts remote access to only those authorized to manage the device and prevents unauthorized users from accessing the system.,Cisco IOS Terminal Services Command Reference Release 15.0 and NSA Router Security Configuration Guide,,<code><cmd>router(config)# line { tty | vty } { line-number } [ ending-line-number ]</cmd> <cmd>router(config)# transport input ssh</cmd></code>
1.1.4.3 - Weak password encryption should not be used on console,Verify an access password with strong encryption is configured on all management lines / VTY.,1.1.4 - Password Rules,,"Configure each line with a strong, encrypted password",yes,no,158,version 1[125]\.*,IOSLine,con,Forbidden,^password 7 \S+,5,Medium,weak password is not allowed as per policy,"Cisco IOS Security Command Reference, Release 15.0M and NSA Router Security Configuration Guide","IOSCallouts::CheckIOSPasswordQuality,45,password *7 *\S+",<code><cmd>hostname(config)#secret { password } </cmd></code>
1.1.4.4 - Require Encrypted User Passwords,"Default device configuration does not require strong user authentication potentially enabling unfettered access to an attacker that is able to reach the device. Creating a local account with an encrypted password enforces login authentication and provides a fallback authentication mechanism for configuration in a named method list in a situation where centralized authentication, authorization, and accounting services are unavailable.",1.1.4 - Password Rules,,"Create a local user with an encrypted, complex (not easily guessed) password.",yes,yes,54,version 1[125]\.*,IOSGlobal,,Required,username.*(privilege \d+|secret 5) \S+,5,Medium,,"Cisco IOS Security Command Reference, Release 15.0M and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)#username { LOCAL_USERNAME } secret { LOCAL_PASSWORD }</cmd></code>
1.1.4.5 - Disable weak password encryption,Verify an access password with strong encryption is configured on all management lines / VTY.,1.1.4 - Password Rules,,"Configure each line with a strong, encrypted password",yes,yes,156,version 1[125]\.*,IOSGlobal,,Required,no enable password,5,Medium,Weak encryption should be disabled as per policy,"Cisco IOS Security Command Reference, Release 15.0M and NSA Router Security Configuration Guide","IOSCallouts::CheckIOSPasswordQuality,45,password *7 *\S+",<code><cmd>hostname(config)#no enable password</cmd></code>
1.1.4.6 - Forbid use of default user names,Verify that default user names are not used,1.1.4 - Password Rules,,Alert on default user name usage,no,no,157,version 1[125]\.*,IOSGlobal,,Forbidden,^username cisco \S+,5,Medium,Default user names should not be used,"Cisco IOS Security Command Reference, Release 15.0M and NSA Router Security Configuration Guide","IOSCallouts::CheckIOSPasswordQuality,45,password *7 *\S+",<code><cmd>Change default user names to your org specific user names</code>
1.1.4.7 - Weak password encryption should not be used on VTY lines,Verify an access password with strong encryption is configured on all management lines / VTY.,1.1.4 - Password Rules,,"Configure each line with a strong, encrypted password",no,no,165,version 1[125]\.*,IOSLine,vty,Forbidden,^password 7 \S+,5,Medium,weak password is not allowed as per policy,"Cisco IOS Security Command Reference, Release 15.0M and NSA Router Security Configuration Guide","IOSCallouts::CheckIOSPasswordQuality,45,password *7 *\S+",<code><cmd>hostname(config)#secret { password } </cmd></code>
1.2.1.2 - Forbid Daylight Savings Time Clock Adjustments,Verify the clock is not configured to adjust the device clock for daylight saving time.,1.2.1 - Clock Rules,,Disable clock summer-time adjustments,no,yes,67,version 1[125]\.*,IOSGlobal,,Forbidden,clock summer-time,5,Medium,"The difficulty of troubleshooting and correlating issues across different time zones increases if the time stamps of individual logs need to be adjusted for summer time clock settings. Timestamp adjustments can lead to errors when correlating logs a cross multiple devices. Employ coordinated universal time(UTC) instead of local timezones and do not use summer-time, daylight saving, clock adjustments.","Cisco IOS Network Management Command Reference, Release 15.0M, NSA Router Security Configuration Guide, and Cisco Guide to Harden Cisco IOS Devices",,<code><cmd>hostname(config)#no clock summer-time</cmd></code>
1.2.1.3.1 - Setup Local Time Zone,Verify the clock is configured for the local time zone.,1.2.1 - Clock Rules,,Configure the local time zone.,no,yes,68,version 1[125]\.*,IOSGlobal,,Forbidden,clock timezone \S+,5,Medium,Only configure daylight savings time if your organization’s policy requires configuring devices for localtime. Timezone and daylight savings adjustment settings should be consistent across all devices to eliminate difficulty troubleshooting issues and correlating time stamps for disparate log files across multiple devices.,"Cisco IOS Network Management Command Reference, Release 15.0M",,<code><cmd>hostname(config)#clock timezone [- ]hours [minutes]</cmd></code>
1.2.1.3.2 - Set Daylight Savings Dates,Verify the clock is configured for the appropriate daylight savings dates for the local time zone.,1.2.1 - Clock Rules,,Configure the appropriate daylight savings dates for the local time zone.,no,yes,69,version 1[125]\.*,IOSGlobal,,Forbidden,clock summer-time \S+ date \S+,5,Medium,Only configure daylight savings time if your organization’s policy requires configuring devices for localtime. Timezone and daylight savings adjustment settings should be consistent across all devices to eliminate difficulty troubleshooting issues and correlating time stamps for disparate log files across multiple devices.,"Cisco IOS Network Management Command Reference, Release 15.0M",,<code><cmd>hostname(config)#clock summer-time zone date {day month | month day} year hh:mm {day month | month day} yy:mm [offset]</cmd></code>
1.2.1.3.3 - Set Daylight Savings Recurrence,Verify the clock is configured for the appropriate daylight savings recurrence for the local time zone.,1.2.1 - Clock Rules,,Configure the appropriate daylight savings recurrence for the local time zone.,no,yes,70,version 1[125]\.*,IOSGlobal,,Forbidden,clock summer-timezone zone \S+ recurring \S+,5,Medium,Only configure daylight savings time if your organization’s policy requires configuring devices for localtime. Timezone and daylight savings adjustment settings should be consistent across all devices to eliminate difficulty troubleshooting issues and correlating time stamps for disparate log files across multiple devices.,"Cisco IOS Network Management Command Reference, Release 15.0M",,<code><cmd>hostname(config)#clock summer-time zone recurring {week weekday month hh:mm week weekday month hh:mm [offset]</cmd></code>
"1.2.2.3 - Forbid Finger Service - IOS 12.1,2,3,4",Disable finger server.,1.2.2 - Global Service Rules,,"Disable finger server (on IOS 12.1,2,3,4)",no,yes,78,version 12.[1234],IOSGlobal,,Forbidden,^ip finger,5,Medium,"Finger is used to find out which users are logged into a device. This service is rarely used in practical environments and can potentially provide an attacker with useful information. Additionally, the finger service can exposed the device Finger of Death denial-of-service (DoS) attack. From Cisco IOS documentation: ""As with all minor services, the Finger service should be disabled on your system if you do not have a need for it in your network. Any network device that has UDP, TCP, BOOTP, or Finger services should be protected by a firewall or have the services disabled to protect against Denial of Service attacks.""","Center for Internet Security Gold Standard Benchmark for Cisco IOS Version 2.1, NSA Router Security Configuration Guide.",,<code><cmd>hostname(config)#no service finger</cmd></code>
1.2.2.4 - Forbid IP BOOTP server,Disable bootstrap protocol (BOOTP) server.,1.2.2 - Global Service Rules,,Disable bootstrap protocol (BOOTP) server,no,yes,80,version (12\.*|11.[23]),IOSGlobal,,Forbidden,^ip bootp server,5,Medium,"From Cisco IOS documentation: ""As with all minor services, the async line BOOTP service should be disabled on your system if you do not have a need for it in your network. Any network device that has UDP, TCP, BOOTP, or Finger services should be protected by a firewall or have the services disabled to protect against Denial of Service attacks.""","NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, Cisco Guide to Harden Cisco IOS Devices, and Cisco AutoSecure",,<code><cmd>hostname(config)#no ip bootp server</cmd></code>
1.2.2.9 - Require TCP keepalives-in Service,Verify transmission control protocol (TCP) keepalives-in service is enabled to kill abnormally terminated sessions.,1.2.2 - Global Service Rules,,Enable TCP keepalives-in service to kill sessions where the remote side has died,no,yes,85,version 1[0125]\.*,IOSGlobal,,Required,service tcp-keepalives-in,5,Medium,"Stale connections use resources and could potentially be hijacked to gain illegitimate access. The TCP keepalives-in service generates keepalive packets on idle incoming network connections (initiated by remote host.) This service allows the device to detect when the remote host fails and drop the session. If enabled, keepalives are sent once per minute on idle connections. The closes connection is closed within five minutes if no keepalives are received or immediately if the host replies with a reset packet.","NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, Cisco Guide to Harden Cisco IOS Devices, and Cisco AutoSecure",,<code><cmd>hostname(config)#service tcp-keepalives-in</cmd></code>
1.2.2.10 - Require TCP keepalives-out Service,Use transmission control protocol (TCP) keepalives-out service to kill abnormally terminated sessions.,1.2.2 - Global Service Rules,,Enable TCP keepalives-out service to kill sessions where the remote side has died,no,yes,86,version 1[0125]\.*,IOSGlobal,,Required,service tcp-keepalives-out,5,Medium,"Stale connections use resources and could potentially be hijacked to gain illegitimate access. The TCP keepalives-out service generates keepalive packets on idle outgoing network connections (initiated by remote host.) This service allows the device to detect when the remote host fails and drop the session. If enabled, keepalives are sent once per minute on idle connections. The connection is closed within five minutes if no keepalives are received or immediately if the host replies with a reset packet.","NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, Cisco Guide to Harden Cisco IOS Devices, and Cisco AutoSecure",,<code><cmd>hostname(config)#service tcp-keepalives-out</cmd></code>
1.2.3.1 - Require System Logging,Verify logging is enabled.,1.2.3 - Logging Rules,,Enable logging,no,yes,91,version 1[125]\.*,IOSGlobal,,Required,logging on,5,Medium,"Logging should be enabled to allow monitoring of both operational and security related events. Logs are critical for responding to general as well as security incidents. Additionally, device logging is highly recommended or required by most security regulations.","NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, and Cisco Guide to Harden Cisco IOS Devices.",,<code><cmd>hostname(config)#logging on</cmd></code>
1.2.3.2 - Require Logging Buffer,Verify buffered logging (with minimum size) is configured to enable logging to internal device memory buffer.,1.2.3 - Logging Rules,LOG_BUFFER_SIZE,Configure buffered logging (with minimum size). Recommended size is 16000,no,yes,92,version 1[125]\.*,IOSGlobal,,Required,logging buffered \d+,5,Medium,The device can copy and store log messages to an internal memory buffer. The buffered data is available only from a router exec or enabled exec session. This form of logging is useful for debugging and monitoring when logged in to a router.,"NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, and Cisco Guide to Harden Cisco IOS Devices.","IOSCallouts::CheckBufferingSizeMin,$(LOG_BUFFER_SIZE)",<code><cmd>hostname(config)#logging buffered log_buffer_size</cmd></code>
1.2.3.4 - Require Logging to Syslog Server,Designate one or more syslog servers to centrally record system logs.,1.2.3 - Logging Rules,SYSLOG_HOST,Designate one or more syslog servers by IP address,no,yes,94,version 1[125]\.*,IOSGlobal,,Required,logging \d+\.\d+\.\d+\.\d+,5,Medium,"Cisco routers can send their log messages to a Unix-style syslog service. A syslog service simply accepts messages, and stores them in files or prints them according to a simple configuration file. This form of logging is best because it can provide protected long-term storage for logs (the devices internal logging buffer has limited capacity to store events.) Additionally, logging to an external system is highly recommended or required by most security standards.","NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, and Cisco Guide to Harden Cisco IOS Devices.",,<code><cmd>hostname(config)#logging {host} syslog_server</cmd></code>
